facet_raw,facet_name,inferrable,category,description,score_anchor_1,score_anchor_3,score_anchor_5,polarity,weight
Caffeine sensitivity gene,Caffeine sensitivity gene,False,General,,,,,,1.0
Hatefulness,Hatefulness,True,Safety/Ethics,This facet measures the degree to which an individual expresses hatred or hostility towards others in a conversation turn,The speaker's words are respectful and considerate of others,The speaker occasionally uses language that could be perceived as slightly derogatory or dismissive,The speaker frequently uses highly derogatory or hostile language towards others,negative,1.0
Psychological construct: Perfectionistic Strivings,Psychological construct: Perfectionistic Strivings,True,Cognitive,,,,,,1.0
Wake-time consistency,Wake-time consistency,False,General,,,,,,1.0
Social-cognition variable: Mentalizing network activation,Social-cognition variable: Mentalizing network activation,True,Social,,,,,,1.0
Patriotism,Patriotism,True,Personality,"This facet measures the degree to which an individual expresses love, loyalty, or devotion to their country in a conversation turn",The speaker does not express any national pride or loyalty,"The speaker occasionally mentions national pride or loyalty, but it is not a central theme",The speaker frequently and strongly expresses national pride and loyalty,positive,1.0
Servility,Servility,True,Behavioral,This facet measures the degree to which an individual exhibits excessive obedience or submissiveness in a conversation turn,The speaker asserts their opinions and needs clearly and respectfully,"The speaker sometimes prioritizes others' needs over their own, but also maintains some assertiveness","The speaker consistently prioritizes others' needs and opinions over their own, often to an excessive degree",negative,1.0
Stress Recovery Ability,Stress Recovery Ability,True,General,This facet measures the degree to which an individual can recover from stress or adversity in a conversation turn,The speaker seems overwhelmed by stress and unable to cope,The speaker sometimes struggles with stress but also mentions some coping strategies,"The speaker effectively manages and recovers from stress, demonstrating resilience",positive,1.0
Troubleshooting technical issues,Troubleshooting technical issues,True,General,This facet measures the degree to which an individual can identify and solve technical problems in a conversation turn,The speaker does not attempt to analyze or solve technical issues,"The speaker occasionally attempts to troubleshoot technical problems, with some success",The speaker effectively identifies and solves complex technical issues,positive,1.0
Defense-mechanism tendency: Introjection,Defense-mechanism tendency: Introjection,True,General,,,,,,1.0
Irritability,Irritability,True,Emotional,This facet measures the degree to which an individual is prone to feeling or expressing annoyance or frustration in a conversation turn,"The speaker remains calm and composed, even in the face of challenges","The speaker occasionally shows signs of irritation, but manages to maintain composure","The speaker frequently expresses annoyance or frustration, often in response to minor issues",negative,1.0
Travel-companions diversity,Travel-companions diversity,True,General,This facet measures the degree to which an individual prefers or seeks out diverse travel companions in a conversation turn,The speaker prefers to travel with people from similar backgrounds or with similar interests,"The speaker sometimes travels with diverse groups, but also values traveling with like-minded individuals",The speaker actively seeks out diverse travel companions and values the experiences and perspectives they bring,positive,1.0
Trust in others,Trust in others,True,General,This facet measures the degree to which an individual trusts or has confidence in others in a conversation turn,The speaker is highly skeptical and distrustful of others,"The speaker has a moderate level of trust, being cautious but also open to building trust","The speaker has a high level of trust in others, believing in their good intentions and competence",positive,1.0
Gamified-finance-app usage,Gamified-finance-app usage,False,General,,,,,,1.0
Caffeine intake (mg/day),Caffeine intake (mg/day),False,General,,,,,,1.0
Comfort with Vulnerability,Comfort with Vulnerability,True,General,This facet measures the degree to which an individual is comfortable with being vulnerable or open about their feelings and weaknesses in a conversation turn,The speaker avoids discussing personal feelings or vulnerabilities,"The speaker occasionally shares personal feelings or vulnerabilities, but also maintains some boundaries","The speaker is very comfortable sharing personal feelings and vulnerabilities, seeing it as a strength",positive,1.0
Anticipativeness,Anticipativeness,True,Emotional,"This facet measures the degree to which an individual thinks ahead, anticipates outcomes, or plans for the future in a conversation turn",The speaker focuses primarily on the present moment and does not consider future implications,"The speaker sometimes thinks about the future or anticipates outcomes, but it is not a dominant aspect of the conversation","The speaker frequently thinks ahead, anticipates various outcomes, and plans accordingly",positive,1.0
Home-security-system presence,Home-security-system presence,False,General,,,,,,1.0
HEXACO domain: Honesty-Humility,HEXACO domain: Honesty-Humility,True,General,"This facet measures the degree to which a person is humble, sincere, and unassuming in their conversation turn.","The person frequently boasts, exaggerates, or manipulates others to get what they want.","The person is generally straightforward and honest, but may occasionally stretch the truth or show off.","The person consistently demonstrates humility, modesty, and a willingness to listen and learn from others.",positive,1.0
Eating Habits (Home-Cooked vs. Eating Out),Eating Habits (Home-Cooked vs. Eating Out),False,Behavioral,,,,,,1.0
Decision-Making Confidence,Decision-Making Confidence,True,General,This facet measures the degree to which a person expresses confidence in their decision-making abilities in a conversation turn.,"The person appears uncertain, hesitant, and lacking in confidence when discussing their decisions.","The person shows a moderate level of confidence, but may express some doubts or reservations about their choices.",The person consistently displays strong self-assurance and conviction in their decision-making abilities.,positive,1.0
Alignment with societal roles,Alignment with societal roles,True,General,This facet measures the degree to which a person's conversation turn reflects an understanding of and adherence to traditional societal roles and expectations.,The person frequently challenges or disregards societal norms and expectations in their conversation.,"The person generally acknowledges and respects societal roles, but may occasionally question or deviate from them.",The person consistently demonstrates a strong sense of responsibility and duty to fulfill their expected societal role.,neutral,1.0
Connectedness: Belief in interconnections,Connectedness: Belief in interconnections,True,General,"This facet measures the degree to which a person's conversation turn reflects a belief in the interconnectedness of people, ideas, and events.","The person views things as largely separate and unrelated, with little consideration for the broader context.","The person occasionally recognizes connections between things, but may not fully appreciate their significance.","The person consistently demonstrates a deep understanding of the complex relationships between people, ideas, and events.",positive,1.0
Quirkiness,Quirkiness,True,Personality,"This facet measures the degree to which a person's conversation turn is characterized by unconventional or unusual thoughts, behaviors, or expressions.",The person's conversation is highly conventional and lacking in creativity or originality.,"The person occasionally expresses unusual or creative ideas, but generally stays within established norms.",The person consistently displays a highly unconventional and innovative approach to thinking and expression.,positive,1.0
Creative resilience,Creative resilience,True,Psychological,This facet measures the degree to which a person's conversation turn reflects their ability to adapt and thrive in the face of challenges or setbacks.,"The person becomes easily discouraged or defeated by obstacles, and struggles to find alternative solutions.","The person shows a moderate ability to cope with challenges, but may require support or guidance to overcome them.","The person consistently demonstrates a high degree of creative resilience, using setbacks as opportunities for growth and innovation.",positive,1.0
Rapid cognitive processing,Rapid cognitive processing,True,Cognitive,This facet measures the degree to which a person's conversation turn reflects their ability to quickly process and respond to information.,"The person struggles to keep up with the conversation, frequently needing clarification or repetition.","The person generally follows the conversation, but may occasionally need a moment to process new information.","The person consistently displays rapid and effortless cognitive processing, quickly grasping and responding to complex ideas.",positive,1.0
Cordiality,Cordiality,True,Personality,"This facet measures the degree to which a person's conversation turn is characterized by warmth, friendliness, and a positive attitude towards others.","The person's conversation is cold, distant, or even hostile, showing little regard for others' feelings.","The person is generally polite and respectful, but may not go out of their way to be friendly or engaging.","The person consistently displays a warm, welcoming, and genuinely interested attitude towards others.",positive,1.0
Types of Mindfulness Techniques Used,Types of Mindfulness Techniques Used,True,General,"This facet measures the degree to which a person's conversation turn reflects their use of mindfulness techniques, such as meditation or deep breathing.",The person does not mention or demonstrate any mindfulness practices in their conversation.,"The person occasionally references mindfulness techniques, but may not regularly practice them.","The person consistently incorporates mindfulness practices into their daily life, and frequently discusses their benefits.",positive,1.0
Economic reasoning,Economic reasoning,True,Cognitive,This facet measures the degree to which a person's conversation turn reflects their ability to think critically and logically about economic concepts and decisions.,The person's conversation is characterized by a lack of understanding of basic economic principles and concepts.,"The person demonstrates a moderate level of economic literacy, but may struggle with more complex ideas.",The person consistently displays a sophisticated and nuanced understanding of economic reasoning and decision-making.,positive,1.0
Conformity,Conformity,True,Personality,"This facet measures the degree to which a person's conversation turn reflects their tendency to conform to societal norms, expectations, and authority.",The person frequently challenges or disregards authority and societal norms in their conversation.,"The person generally respects authority and conforms to societal expectations, but may occasionally question or deviate from them.","The person consistently demonstrates a strong desire to fit in and avoid conflict, even if it means sacrificing their own opinions or values.",neutral,1.0
Pet-enrichment activities count,Pet-enrichment activities count,False,General,,,,,,1.0
Aestheticism,Aestheticism,True,General,"This facet measures the degree to which a person's conversation turn reflects their appreciation and valuation of beauty, art, and creative expression.",The person shows little interest or appreciation for artistic or creative pursuits in their conversation.,"The person occasionally discusses or references artistic or cultural topics, but may not be deeply invested in them.","The person consistently displays a profound appreciation and love for beauty, art, and creative expression in all its forms.",positive,1.0
Type of Support Preferred (Emotional vs. Practical),Type of Support Preferred (Emotional vs. Practical),True,Emotional,"This facet measures the degree to which a person's conversation turn reflects their preference for emotional support, practical support, or a combination of both.",The person does not express a clear preference for either emotional or practical support in their conversation.,"The person occasionally mentions a need for emotional or practical support, but may not have a strong preference for one over the other.","The person consistently expresses a clear and specific preference for either emotional support, practical support, or a balanced combination of both.",neutral,1.0
Mental Arithmetic Speed,Mental Arithmetic Speed,True,Cognitive,This facet measures the degree to which a person's conversation turn reflects their ability to quickly and accurately perform mental arithmetic calculations.,"The person struggles to perform even simple mental arithmetic calculations, frequently making errors or needing external aids.","The person can perform basic mental arithmetic calculations, but may need to slow down or use mental shortcuts for more complex problems.","The person consistently displays rapid and accurate mental arithmetic abilities, effortlessly handling complex calculations and mathematical concepts.",positive,1.0
Patience: Resistance to anger,Patience: Resistance to anger,True,Emotional,"This facet measures the degree to which a person's conversation turn reflects their ability to remain calm and composed, even in the face of frustration or provocation.","The person frequently becomes angry, irritated, or defensive in their conversation, with little ability to manage their emotions.","The person generally remains calm, but may occasionally become frustrated or annoyed, especially in challenging situations.","The person consistently displays exceptional patience and emotional regulation, remaining calm and composed even in the most trying circumstances.",positive,1.0
Flawlessness,Flawlessness,True,General,"This facet measures the degree to which a conversation turn is free from errors, inconsistencies, or flaws in reasoning or expression.",The turn contains multiple obvious errors or contradictions that hinder understanding.,The turn is generally coherent but may contain minor errors or areas for improvement that do not significantly impede comprehension.,"The turn is impeccable, with no discernible errors in logic, grammar, or factual accuracy, presenting a flawless argument or statement.",positive,1.0
Self-Efficacy,Self-Efficacy,True,Psychological,This facet measures the extent to which a speaker expresses confidence in their ability to accomplish tasks or achieve goals.,The speaker expresses significant self-doubt or lack of confidence in their abilities.,"The speaker demonstrates a moderate level of confidence, acknowledging both their capabilities and limitations.","The speaker exudes a strong sense of self-efficacy, expressing unwavering confidence in their ability to succeed in various endeavors.",positive,1.0
Spelling Accuracy,Spelling Accuracy,True,Linguistic,This facet measures the correctness of spelling in written conversation turns.,"The turn contains numerous spelling errors, making it difficult to understand the intended message.",The turn may contain a few minor spelling errors but is generally understandable.,"The turn is completely free of spelling errors, with all words correctly spelled.",positive,1.0
Peacefulness,Peacefulness,True,Emotional,"This facet measures the degree to which a conversation turn promotes or reflects a calm, serene, and non-confrontational atmosphere.","The turn is aggressive, confrontational, or inflammatory, significantly disrupting the peace.","The turn is neutral, neither particularly promoting nor disrupting peace, and may touch on sensitive topics without escalation.","The turn is profoundly peaceful, promoting understanding, empathy, and calmness, and works to de-escalate or avoid conflict.",positive,1.0
Doggedness,Doggedness,True,Personality,This facet measures the persistence or determination shown by a speaker in pursuing their goals or arguments.,"The speaker shows little persistence, quickly giving up or changing the subject when faced with obstacles or counterarguments.","The speaker demonstrates a moderate level of persistence, continuing to argue their point but being open to compromise or alternative perspectives.","The speaker is extremely dogged, refusing to back down and continuously pushing their point even in the face of significant opposition or adversity.",neutral,1.0
Decency,Decency,True,General,"This facet measures the respectfulness, courtesy, and moral integrity displayed in a conversation turn.","The turn is offensive, disrespectful, or morally reprehensible, showing a complete lack of decency.","The turn is generally polite but may lack depth in terms of moral consideration or empathy, being somewhat superficial in its expression of decency.","The turn is characterized by a high level of decency, demonstrating profound respect, empathy, and moral awareness, contributing positively to the conversation.",positive,1.0
Processed-food frequency,Processed-food frequency,False,General,,,,,,1.0
